MID,UID,评论时间,评论内容,评论人UID,评论人昵称,评论人个性签名,关注数量,粉丝数量,点赞数量,作品数,IP所属
4457382081611032	,2697908461	,2020-01-05 16:52:44,您好，很抱歉给您带来不愉快的心情，请您通过私信提供一下您的号码和具体问题，我们会进一步详细了解并核实，感谢您的支持。,2001627641,中国移动,你的围脖好友、身边的通信专家，又和你见面啦！在这里，中国移动“和”你一起，分享新业务、新服务与新技术。感谢有你，一路相伴~了解更多资讯，请登录www.10086.cn,11837696,648,0,53544,北京 西城区
4467815912535734	,2190554533	,2020-02-03 09:36:35,买买买~ :http://t.cn/A6PjAcOx,2190554533,找券多多,我叫多多，资深剁手党一枚，寻找优惠劵产品是我最大的兴趣，欢迎剁手党关注~~,208165,60,0,157132,广东 广州
4467857041624061	,6348169302	,2020-02-03 12:19:51,"http://t.cn/A6PjWHB7，打不开的话,復.制这条,打开【手.掏】即可€EI2T1WDqLPA€",6348169302,45擦肩而过,人的智慧掌握着三把钥匙，一把开启数字，一把开启字母，一把开启音符。知识、思想、幻想就在其中。,150327,117,0,42488,湖南 常德
4468047719156302	,6053617812	,2020-02-04 01:37:57,加油老友,1658656622,数码傅姐,蝴蝶香妃,40556,2007,0,16775,上海
4468047719156302	,6053617812	,2020-02-04 01:06:45,[干杯],5927657552,恋爱情感挽回大师-伊琳,挽回前任、冷战、复婚复合、失恋心理指导、撩拨技巧等情感问题咨询唯❤112661884,73287,10007,0,6429,江苏
4468047719156302	,6053617812	,2020-02-04 00:59:04,[干杯],6916191187,Liuop55,,108255,553,0,719,四川
4468047719156302	,6053617812	,2020-02-04 00:58:33,[笑哈哈],7258490182,熊熊旅行日记,"有人说旅行是逃避现实,而我认为旅行是寻找现实。跟着我一起去旅行吧！ vx:chenqyz",19984,424,0,5079,四川 成都
4468047719156302	,6053617812	,2020-02-04 00:58:27,"如链接打不开[微风]复?製本条(HonE13b3q5M)打开（啕寶）即可种草  找心仪宝贝[微风]请留,评.",6053617812,好物省大叔,情感、恋爱、脱单.好物推荐、测评.,88495,13688,0,52491,广东 广州
4468047719156302	,6053617812	,2020-02-04 00:57:46,微博在于互动[心],3099367624,短的功课,专注美业10年 分享力所能及的变美芝士 别踩坑了，宝贝！  免费领取真实案例＋Luoba008,125512,2302,0,45898,上海
4468047719156302	,6053617812	,2020-02-04 00:57:39,[笑哈哈],5526394923,随风情感丫,,45967,1034,0,3045,湖北
4468047719156302	,6053617812	,2020-02-04 00:57:37,[好爱哦],5526394923,随风情感丫,,45967,1034,0,3045,湖北
4468047719156302	,6053617812	,2020-02-04 00:57:38,[给力],6684945412,教你挽回前任导师,情感挽回，婚姻修复，分离新欢，异地异国恋 ，同性恋分手挽回，老师VX…vs203203,10919,4040,0,1253,湖北 武汉
4468047719156302	,6053617812	,2020-02-04 00:57:36,任何时候都别忘记努力，付出甘之如饴，所得才会皆大欢喜。,1414207945,贝公子_Ava,商务合作及品牌推广请加vx:wwbd668,3073546,82,0,477,江苏 南京
4468186721904038	,2190554533	,2020-02-04 10:10:03,买买买~ :http://t.cn/A6PHSHer,2190554533,找券多多,我叫多多，资深剁手党一枚，寻找优惠劵产品是我最大的兴趣，欢迎剁手党关注~~,208165,60,0,157132,广东 广州
4468266132738156	,6451925890	,2020-02-04 15:25:26,"http://t.cn/A6PQiWWX，打不开的话,復.制这条,打开【手.掏】即可€C9j213d75pP€",6451925890,40小怪兽,,143258,91,0,45608,河南
4469694973492442	,5261643209	,2020-02-08 17:26:38,呃,2027086837,帅掉渣的土豪气质嘤嘤嘤,我自己最大的缺点是什么，我觉得最大的缺点就是没钱。,42,1258,0,71,四川 南充
4469694973492442	,5261643209	,2020-02-08 14:57:04,哦豁联通不得行[允悲][允悲],6531519460,兰亭辞,˃̶͈ ꇴ ˂̶͈,138,232,0,3114,四川
4469694973492442	,5261643209	,2020-02-08 14:08:09,这是个好消息,2044977520,米兔羔Yang,在这个有钱能使鬼推磨的时代，神……已经成为了弱势群体。,116,224,0,215,四川 成都
4471138258727997	,2190554533	,2020-02-12 13:38:25,买买买~ :http://t.cn/A6hLhPZJ,2190554533,找券多多,我叫多多，资深剁手党一枚，寻找优惠劵产品是我最大的兴趣，欢迎剁手党关注~~,208165,60,0,157132,广东 广州
4471928850623298	,1251415433	,2020-02-15 10:06:05,您好，如果您在使用移动业务过程中有任何的疑问，您可以私信形式联系我们，我们会尽快回复您，感谢您对中国移动关注与支持！,2001627641,中国移动,你的围脖好友、身边的通信专家，又和你见面啦！在这里，中国移动“和”你一起，分享新业务、新服务与新技术。感谢有你，一路相伴~了解更多资讯，请登录www.10086.cn,11837692,648,0,53545,北京 西城区
4473332093249818	,37123949	,2020-04-06 12:39:57,请问电脑可以用吗？,5072334947,观星lyx,,93,172,0,63,湖北 武汉
4473332093249818	,37123949	,2020-02-18 16:19:35,请问在线课堂四个频道有画面没声音怎么回回事？其他一百多个频都正常。,2750052131,kk不喜欢下雨天,简单生活,188,316,1,2443,湖北 武汉
4477034270570304	,7318805958	,2020-02-29 06:24:07,@奏耐天津,1743930583,MissYY1988,,461,230,0,111,天津 和平区
